ID_cliente,nome_cliente,sexo_biologico_cliente,idade_cliente,cidade_cliente,estado_cliente,regiao_cliente
0,Daniel Alves,Masculino,40,Canoas,Rio Grande do Sul,Sul
1,João Guilherme da Cruz,Masculino,34,São José do Rio Preto,São Paulo,Sudeste
2,Henry Gabriel Carvalho,Masculino,33,São Paulo,São Paulo,Sudeste
3,Bella Rocha,Feminino,33,Maracanaú,Ceará,Nordeste
4,Yago Borges,Masculino,51,São Paulo,São Paulo,Sudeste
5,Otávio Andrade,Masculino,43,Teresópolis,Rio de Janeiro,Sudeste
6,Ana Borges,Feminino,30,Brasília,Distrito Federal,Centro-Oeste
7,Helena da Conceição,Feminino,40,Brasília,Distrito Federal,Centro-Oeste
8,Thiago Pereira,Masculino,37,Teresina,Piauí,Nordeste
9,Apollo Novais,Masculino,18,Manaus,Amazonas,Norte
10,Gael Henrique Silva,Masculino,25,Manaus,Amazonas,Norte
11,Yago Leão,Masculino,38,Guarulhos,São Paulo,Sudeste
12,Henry Machado,Masculino,50,Brasília,Distrito Federal,Centro-Oeste
13,Lara Abreu,Feminino,33,São José dos Campos,São Paulo,Sudeste
14,Emanuel Sampaio,Masculino,30,Vila Velha,Espírito Santo,Sudeste
15,Otávio Fernandes,Masculino,36,Rio de Janeiro,Rio de Janeiro,Sudeste
16,João Lucas Cassiano,Masculino,29,Bauru,São Paulo,Sudeste
17,Henrique Teixeira,Masculino,32,João Pessoa,Paraíba,Nordeste
18,Lucca Caldeira,Masculino,35,São Paulo,São Paulo,Sudeste
19,Ayla Garcia,Feminino,24,Passo Fundo,Rio Grande do Sul,Sul
20,Aylla Fogaça,Feminino,43,Recife,Pernambuco,Nordeste
21,Manuella Pereira,Feminino,23,Cuiabá,Mato Grosso,Centro-Oeste
22,João Aparecida,Masculino,22,Teresópolis,Rio de Janeiro,Sudeste
23,Raul Nascimento,Masculino,37,Várzea Grande,Mato Grosso,Centro-Oeste
24,Camila Garcia,Feminino,42,São Paulo,São Paulo,Sudeste
25,Anna Liz Novaes,Feminino,37,Brasília,Distrito Federal,Centro-Oeste
26,Juan Pires,Masculino,34,Campinas,São Paulo,Sudeste
27,Luiz Miguel Oliveira,Masculino,32,Belo Horizonte,Minas Gerais,Sudeste
28,Gael Santos,Masculino,30,Manaus,Amazonas,Norte
29,Ana Lívia Aparecida,Feminino,46,Feira de Santana,Bahia,Nordeste
30,Heloísa Vargas,Feminino,38,São Paulo,São Paulo,Sudeste
31,João Vitor Barros,Masculino,31,Caxias,Maranhão,Nordeste
32,Igor Brito,Masculino,28,São Paulo,São Paulo,Sudeste
33,Mateus da Mota,Masculino,41,Gravataí,Rio Grande do Sul,Sul
34,Rafael Porto,Masculino,45,Palmas,Tocantins,Norte
35,Maria Clara Castro,Feminino,44,São Paulo,São Paulo,Sudeste
36,Léo Fogaça,Masculino,27,Arapiraca,Alagoas,Nordeste
37,Gustavo Henrique Rios,Masculino,32,Jundiaí,São Paulo,Sudeste
38,Juliana Sampaio,Feminino,30,Recife,Pernambuco,Nordeste
39,Brayan Pereira,Masculino,33,Recife,Pernambuco,Nordeste
40,Eloá Nascimento,Feminino,43,Águas Lindas de Goiás,Goiás,Centro-Oeste
41,Isabelly Castro,Feminino,49,Natal,Rio Grande do Norte,Nordeste
42,Nicole Garcia,Feminino,39,Barueri,São Paulo,Sudeste
43,Júlia Porto,Feminino,29,Juiz de Fora,Minas Gerais,Sudeste
44,Henry Rodrigues,Masculino,35,Cuiabá,Mato Grosso,Centro-Oeste
45,Lunna Vargas,Feminino,51,Teresina,Piauí,Nordeste
46,Benjamin da Conceição,Masculino,36,Recife,Pernambuco,Nordeste
47,Ana Beatriz Dias,Feminino,32,Ribeirão Preto,São Paulo,Sudeste
48,Murilo da Mata,Masculino,33,Campo Grande,Mato Grosso do Sul,Centro-Oeste
49,Ana Luiza Cunha,Feminino,39,Pelotas,Rio Grande do Sul,Sul
50,Levi Cunha,Masculino,27,Rio Grande,Rio Grande do Sul,Sul
51,Theo Gonçalves,Masculino,30,São José,Santa Catarina,Sul
52,Raul Casa Grande,Masculino,44,Santa Maria,Rio Grande do Sul,Sul
53,Julia Carvalho,Feminino,38,Brasília,Distrito Federal,Centro-Oeste
